id,filename,course,cluster,core_claim,mechanism,researchers,named_frameworks,principles_tagged,size_bytes
D001,D001.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,"המטרה המיידית של הטיפול בטראומה אינה הפחתת PTSD, אלא החזרת האדם לתפקוד מועיל ומיטיב דרך הפעלה יעילה.",הפעלת הנפגע באופן יעיל בהקשר האירוע; תפיסת משימות קטנות כהצלחות; הפעלת PFC דרך שאלות קוגניטיביות.,פרחי,מעשה|יהלום|HPA|ASR,P01|P02|P04|P05|P10,0
D002,D002.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,זיכרון טראומטי תלוי במצב סימפתטי; תפקוד יעיל דורש סידור זיכרון תוך 6-7 שעות.,קורטיזול מחדד חושים; היעדר נקודת סיום מייצר רפיטיציה; חלון זמנים קריטי לשינוי אחסון.,פרחי|אנטונובסקי,ASR|PTSD|PFC,P05,0
D003,D003.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,ASR|HRV|PTSD,P01|P10,0
D004,D004.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,PFA,,0
D005,D005.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,,,0
D006,D006.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,"מודל שש-הסי יעיל בהפחתת ASR מעבר לתחקיר פסיכולוגי, בעיקר בהקשרים קשים כמהגרים.","שלוש אלמנטים: תקשורת קוגניטיבית, שליטה בחירה, אתגר משימות קטנות; שימור היררכיה.",פרחי|אנטונובסקי,6-C|מעשה|PFA,P04,0
D007,D007.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,,,0
D008,D008.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,,,0
D009,D009.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[META],[META],,,,0
D010,D010.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,דיסוציאציה חלקית עם PFC דומיננטיות היא מצב הרצוי לשמר יכולת פעילה של המסייע.,שמירה על PFC דרך תקשורת קוגניטיבית; הימנעות מנרמליזציה רגשית; התערבות בחירום אך לא בתוך פעולה רפואית.,פרחי,ASR|PFC|HRV|מעשה,P04|P06|P07|P11,0
D011,D011.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,פסיביות מאיצה דומיננטיות אמיגדלה; טיפול דורש העברת פעילות קוגניטיבית ובחירה.,שאלות קוגניטיביות המעודדות בחירה; תרגום גרייה לחושים שונים.,פרחי,ASR|PFC,P01|P06,0
D012,D012.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,מודל מעשה משלב סגירת אירוע דרך שחזור כרונולוגי המייצר מסוגלות להמשך.,30-45 דקות; שחזור אירועים; זיהוי נקודות הצלחה; יצירת מחויבות.,פרחי,מעשה|6-C,P01|P02|P05|P06,0
D013,D013.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,איום וחוסר אונים יוצרים טראומה; פעילות יעילה משבר את המעגל.,טראומה = איום + חוסר אונים + פחד; מחזור שבירה דרך פעילות יעילה.,פרחי,ASR|HPA,P02,0
D014,D014.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,קורטיזול מחדד חושים אך מקשה על סדר; מחשבות טורדניות מהיעדר סיום קונקרטי.,קורטיזול מכפיל מידע; צפירת נקודת סיום; עקומת ביצוע הפוכה.,פרחי,HPA|PFC,,0
D015,D015.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,"מודל ששת הסי מחזק עמידות דרך שליטה, מחויבות ואתגר; מעשה הוא גרסה מקוצרת.","6 אלמנטים: שליטה, מחויבות, אתגר, קוהרנטיות, חוסן, קהילה.",פרחי|קבסה|אנטונובסקי,6-C|מעשה|COR,P01|P04|P05|P06|P07|P11,0
D016,D016.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,דיבור ממוקד רגש בטראומה מחריף ASR; תקשורת קוגניטיבית משמרת PFC.,נורמליזציה רגשית מפעילה אמיגדלה; תקשורת קוגניטיבית מונוטונית משמרת שיח מידע.,פרחי|אורטל,ASR|PFC,,0
D017,D017.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,"שלוש טעויות שכיחות בטיפול: נרמול רגשי, הושבה, תן מים; כולן מגביר חוסר אונים.",נרמול מפעיל אמיגדלה; הושבה מחלישה; מים מפעילים פארא-סימפתטית.,פרחי,ASR|HPA,P01|P02|P06|P07,0
D018,D018.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,חוסן נבנה בשגרה דרך HRV ובחיבור משאבים להקשר; לא מצבים אלא יכולות דינמיות.,חוסן = משאבים + התאמה + יעילות; HRV מודד פארא-סימפתטית.,לחד|הובפול,COR|BASIC-PH|HRV,,0
D019,D019.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,טראומה דורשת אירוע אובייקטיבי המהווה סכנה לחיים; תחקיר פסיכולוגי עלול להגביר PTSD.,אבחון: סכנה לחיים = טראומה; PFC מנתח איום; בחירה מגביר PFC אוטומטית.,פרחי,PFC|ASR,,0
D020,D020.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,חוסן תלוי במיקוד שליטה ממוזן; חוסן פיזיולוגי בא לידי ביטוי דרך HRV.,שליטה פנימית = מסוגלות; חיצונית = תלות; HRV מדד סתגלנות.,,HRV,P03|P08|P12,0
D021,D021.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,PTSD,P02,0
D022,D022.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],הרמן,,,0
D023,D023.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,P13,0
D024,D024.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,PTSD,P14,0
D025,D025.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,ASR,P01|P03|P04|P08|P09|P10,0
D026,D026.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],הובפול,COR|PTSD,,0
D027,D027.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,HRV|PTSD,,0
D028,D028.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,P03,0
D029,D029.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,PTSD,,0
D030,D030.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,,0
D031,D031.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,PFC|PTSD,P03,0
D032,D032.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,PTSD,,0
D033,D033.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],הרמן,PTSD,,0
D034,D034.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,,0
D035,D035.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,P13,0
D036,D036.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,P02,0
D037,D037.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],לחד,,,0
D038,D038.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,PTSD,P11,0
D039,D039.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,,0
D040,D040.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,P13,0
D041,D041.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,P03|P11,0
D042,D042.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,PFC,P14,0
D043,D043.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,,0
D044,D044.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,,0
D045,D045.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,PTSD,P14,0
D046,D046.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,,0
D047,D047.txt,ייעוץ ארגוני,ייעוץ ארגוני,[טובה בקריאה],[טובה בקריאה],,,,0
D048,D048.txt,ייעוץ ארגוני,ייעוץ ארגוני,[טובה בקריאה],[טובה בקריאה],,COR,,0
D049,D049.txt,ייעוץ ארגוני,ייעוץ ארגוני,[טובה בקריאה],[טובה בקריאה],,,,0
D050,D050.txt,ייעוץ ארגוני,ייעוץ ארגוני,[טובה בקריאה],[טובה בקריאה],,,P15,0
D051,D051.txt,ייעוץ ארגוני,ייעוץ ארגוני,[טובה בקריאה],[טובה בקריאה],,,P15,0
D052,D052.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[טובה בקריאה],[טובה בקריאה],פרחי,ASR|HPA,,0
D053,D053.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[טובה בקריאה],[טובה בקריאה],,,,0
D054,D054.txt,מבוא להתפתחות מצבי דחק וטראומה,מבוא להתפתחות מצבי דחק וטראומה,[טובה בקריאה],[טובה בקריאה],,,,0
D055,D055.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,,0
D056,D056.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,P16,0
D057,D057.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,PTSD,,0
D058,D058.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],הרמן,PTSD,,0
D059,D059.txt,התערבות במצבי אסון ומצבי טראומה מתמשכים,התערבות במצבי אסון ומצבי טראומה מתמשכים,[טובה בקריאה],[טובה בקריאה],,,,0
D060,D060.txt,other,other,[טובה בקריאה],[טובה בקריאה],,,,0
D061,D061.txt,other,other,[טובה בקריאה],[טובה בקריאה],,,,0
D062,D062.txt,other,other,[טובה בקריאה],[טובה בקריאה],,,,0
D063,D063.txt,other,other,[טובה בקריאה],[טובה בקריאה],,,,0
D064,D064.txt,other,other,[טובה בקריאה],[טובה בקריאה],,,,0
D065,D065.txt,other,other,[טובה בקריאה],[טובה בקריאה],,,,0
